anime_id,title,title_english,type,source,episodes,status,airing,aired_string,duration_min,rating,score,scored_by,rank,popularity,members,favorites,studio,genre,aired_from_year
2899,Higurashi no Naku Koro ni Special: Nekogoroshi-hen,,Special,Light novel,1,Finished Airing,FALSE,2-Aug-07,23,PG-13 - Teens 13 or older,7.29,29614,2421,1480,52797,63,Studio Deen,Mystery,2007
16023,Kuro to Kin no Akanai Kagi.,,OVA,Visual novel,2,Finished Airing,FALSE,"Feb 28, 2013 to May 30, 2013",29,R+ - Mild Nudity,5.79,2588,7823,4325,6703,22,An DerCen,"Romance, Josei",2013
115,El Hazard: The Alternative World,,TV,Original,13,Finished Airing,FALSE,"Jan 8, 1998 to Mar 26, 1998",25,PG-13 - Teens 13 or older,6.91,3734,3873,4007,8099,9,AIC,"Adventure, Comedy, Fantasy",1998
11617,High School DxD,High School DxD,TV,Light novel,12,Finished Airing,FALSE,"Jan 6, 2012 to Mar 23, 2012",24,R+ - Mild Nudity,7.62,371603,1294,56,587381,13007,TNK,"Comedy, Demons, Ecchi, Harem, Romance, School",2012
5680,K-On!,K-ON!,TV,4-koma manga,13,Finished Airing,FALSE,"Apr 3, 2009 to Jun 26, 2009",24,PG-13 - Teens 13 or older,7.86,281978,783,80,500389,13575,Kyoto Animation,"Slice of Life, Comedy, Music, School",2009
10156,Sacred Seven,Sacred Seven,TV,Original,12,Finished Airing,FALSE,"Jul 3, 2011 to Sep 16, 2011",24,PG-13 - Teens 13 or older,6.71,24858,4723,1411,56338,70,Sunrise,"Action, Sci-Fi, Super Power, School",2011
31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",GATE,TV,Novel,12,Finished Airing,FALSE,"Jan 9, 2016 to Mar 26, 2016",23,R - 17+ (violence & profanity),7.91,152178,676,279,249386,1216,A-1 Pictures,"Action, Military, Adventure, Fantasy",2016
32409,Shinmai Maou no Testament Burst Specials,,Special,Light novel,5,Finished Airing,FALSE,"Dec 25, 2015 to Apr 27, 2016",4,R+ - Mild Nudity,7.16,3621,2981,3576,10666,12,Production IMS,"Comedy, Demons, Ecchi",2015
6883,Umi Monogatari: Anata ga Ite Kureta Koto - Shinjiau Kokoro,Umi Monogatari: Faithful Hearts,Special,Game,1,Finished Airing,FALSE,26-Mar-10,24,PG-13 - Teens 13 or older,6.68,987,4867,5956,2998,0,Zexcs,"Fantasy, Comedy, Supernatural",2010
22859,Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite,,Special,Light novel,1,Finished Airing,FALSE,19-Feb-14,5,PG-13 - Teens 13 or older,7.26,8361,2589,2816,17897,4,Kyoto Animation,Comedy,2014
32282,Shokugeki no Souma: Ni no Sara,Food Wars! The Second Plate,TV,Manga,13,Finished Airing,FALSE,"Jul 2, 2016 to Sep 24, 2016",24,PG-13 - Teens 13 or older,8.46,235613,130,127,392336,2322,J.C.Staff,"Ecchi, School, Shounen",2016
28819,Okusama ga Seitokaichou!,My Wife is the Student Council President!,TV,Manga,12,Finished Airing,FALSE,"Jul 2, 2015 to Sep 17, 2015",8,R+ - Mild Nudity,6.84,72921,4158,593,140092,254,Seven,"Comedy, Ecchi, Romance, School, Shounen",2015
8842,Oishinbo: Nichibei Kome Sensou,Oishinbo: The Japan-America Rice War,Movie,Manga,1,Finished Airing,FALSE,3-Dec-93,90,PG-13 - Teens 13 or older,6.11,73,7064,10610,275,0,Shin-Ei Animation,"Comedy, Seinen, Slice of Life",1993
24655,Date A Live Movie: Mayuri Judgment,,Movie,Light novel,1,Finished Airing,FALSE,22-Aug-15,72,PG-13 - Teens 13 or older,7.53,38339,1548,1043,79547,309,Production IMS,"Harem, Romance, Sci-Fi",2015
18441,Blood Lad: Wagahai wa Neko de wa Nai,Blood Lad OVA,OVA,Manga,1,Finished Airing,FALSE,4-Dec-13,27,PG-13 - Teens 13 or older,7.28,35918,2483,1271,64098,51,Brain&#039;s Base,"Action, Comedy, Demons, Seinen, Supernatural, Vampire",2013
8369,Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,,Movie,Manga,1,Finished Airing,FALSE,17-Apr-10,100,G - All Ages,7.46,818,1763,7213,1694,4,Shin-Ei Animation,"Sci-Fi, Adventure, Comedy, Seinen",2010
471,To Heart 2,To Heart 2,TV,Visual novel,13,Finished Airing,FALSE,"Oct 3, 2005 to Dec 26, 2005",24,PG-13 - Teens 13 or older,6.6,5449,5229,3008,15606,34,OLM,"Comedy, Drama, Harem, Romance, School, Slice of Life",2005
33291,Pinkerton,,OVA,Manga,0,Currently Airing,TRUE,"Jul 22, 2016 to ?",20,Rx - Hentai,6.82,998,,5634,3474,14,Queen Bee,Hentai,2016
3571,Mach GoGoGo (1997),Speed Racer X,TV,Manga,34,Finished Airing,FALSE,"Jan 9, 1997 to Sep 24, 1997",25,PG - Children,6.39,774,6034,6858,1997,3,Tatsunoko Production,"Adventure, Cars",1997
4574,Saikyou Robot Daiouja,,TV,Original,50,Finished Airing,FALSE,"Jan 31, 1981 to Jan 30, 1982",24,PG-13 - Teens 13 or older,6.49,55,5649,10336,323,0,Sunrise,"Action, Sci-Fi, Mecha, Shounen",1981
25013,Akatsuki no Yona,Yona of the Dawn,TV,Manga,24,Finished Airing,FALSE,"Oct 7, 2014 to Mar 24, 2015",24,PG-13 - Teens 13 or older,8.19,166612,320,165,339298,8088,Studio Pierrot,"Action, Adventure, Comedy, Fantasy, Romance, Shoujo",2014
15545,Oshiri Kajiri Mushi (TV),Bottom Biting Bug,TV,Music,20,Finished Airing,FALSE,"Oct 7, 2012 to Feb 24, 2013",5,G - All Ages,5.28,353,8727,8239,1021,1,Kinema Citrus,"Comedy, Kids",2012
37559,Oretacha Youkai Ningen G,,TV,Original,0,Currently Airing,TRUE,"Apr 5, 2018 to ?",2,PG-13 - Teens 13 or older,4.08,13,11648,11297,195,1,DLE,"Demons, Horror, Parody",2018
36267,Uchuu Senkan Tiramisù,,TV,Web manga,13,Currently Airing,TRUE,"Apr 3, 2018 to ?",7,PG-13 - Teens 13 or older,6.08,2098,7161,3414,11972,7,Gonzo,"Sci-Fi, Slice of Life, Space, Comedy, Mecha, Seinen",2018
29573,Fukubiki! Triangle: Futaba wa Atafuta ♥,,OVA,Visual novel,1,Finished Airing,FALSE,27-Mar-15,29,Rx - Hentai,6.8,1509,,5203,4240,13,PoRO,Hentai,2015
588,Itsudatte My Santa!,Itsudatte My Santa!,OVA,Manga,2,Finished Airing,FALSE,7-Dec-05,28,R+ - Mild Nudity,6.11,5473,7055,3747,9571,10,TNK,"Ecchi, Fantasy, Romance, Comedy, Shounen",2005
860,Makai Senki Disgaea,Disgaea,TV,Game,12,Finished Airing,FALSE,"Apr 5, 2006 to Jun 21, 2006",24,PG-13 - Teens 13 or older,6.85,15874,4112,1968,34064,157,OLM,"Action, Comedy, Demons, Fantasy, Magic",2006
650,Gunsmith Cats,Gunsmith Cats,OVA,Manga,3,Finished Airing,FALSE,"Nov 1, 1995 to Sep 1, 1996",29,PG-13 - Teens 13 or older,7.27,9818,2522,2647,20390,119,OLM,"Action, Comedy, Police, Seinen",1995
37026,Koukaku no Pandora: Pandoradio,,Special,Manga,6,Finished Airing,FALSE,"May 27, 2016 to Oct 28, 2016",3,PG-13 - Teens 13 or older,5.9,31,10986,9314,592,0,Studio Gokumi,"Sci-Fi, Comedy",2016
3765,Pygmalio,,TV,Manga,39,Finished Airing,FALSE,"Nov 5, 1990 to Sep 16, 1991",24,G - All Ages,6.87,268,4048,8859,726,2,Nippon Animation,"Adventure, Fantasy, Shoujo",1990
18781,Puchimas!: Petit iDOLM@STER - Takatsuki Gold Densetsu Special!! Haruka-san Matsuri,,Special,4-koma manga,6,Finished Airing,FALSE,"Mar 27, 2013 to May 29, 2013",3,PG-13 - Teens 13 or older,6.66,1062,4941,6227,2684,2,Gathering,"Comedy, Music, Slice of Life",2013
14131,Girls & Panzer,Girls & Panzer,TV,Original,12,Finished Airing,FALSE,"Oct 9, 2012 to Mar 25, 2013",24,PG-13 - Teens 13 or older,7.65,72416,1217,559,147291,2638,Actas,"Action, Sports, Military, School",2012
30296,Rakudai Kishi no Cavalry,Chivalry of a Failed Knight,TV,Light novel,12,Finished Airing,FALSE,"Oct 3, 2015 to Dec 19, 2015",23,R - 17+ (violence & profanity),7.75,193030,1000,168,336877,4087,"Silver Link., Nexus","Action, Romance, Ecchi, Fantasy, School",2015
34510,Hei Mao Jing Zhang,Black Cat Detective,TV,Original,5,Finished Airing,FALSE,"Jan, 1984 to Dec, 1984",18,PG - Children,5.5,32,10373,12217,137,0,Shanghai Animation Film Studio,"Action, Adventure, Cars, Comedy, Kids, Police",1984
10802,MonHun Nikki Girigiri Airou Mura G,,TV,Game,13,Finished Airing,FALSE,"Jul 1, 2011 to Sep 29, 2011",3,G - All Ages,6.24,104,6627,10014,382,0,DLE,"Action, Comedy",2011
32005,Detective Conan Movie 20: The Darkest Nightmare,,Movie,Manga,1,Finished Airing,FALSE,16-Apr-16,112,G - All Ages,8.3,7645,236,3128,14475,58,TMS Entertainment,"Action, Mystery, Police, Shounen",2016
24775,Koishite!! Namashi-chan,,TV,Original,0,Finished Airing,FALSE,"Jan 3, 2015 to ?",1,G - All Ages,6,9,10944,11928,151,0,Kachidoki Studio,"Slice of Life, Kids",2015
6220,Musuko no Tomodachi ni Okasarete,The Cougar Trap,OVA,Visual novel,2,Finished Airing,FALSE,"Mar 13, 2009 to Jun 12, 2009",30,Rx - Hentai,6.47,1011,,6331,2570,10,Y.O.U.C,Hentai,2009
9673,Ura Tegamibachi,Letter Bee Reverse Specials,Special,Original,25,Finished Airing,FALSE,"Dec 22, 2010 to Aug 26, 2011",3,PG-13 - Teens 13 or older,7.05,577,3393,5377,3874,2,Studio Pierrot,Comedy,2010
18095,Nourin,No-Rin,TV,Light novel,12,Finished Airing,FALSE,"Jan 11, 2014 to Mar 29, 2014",24,PG-13 - Teens 13 or older,6.94,44303,3786,866,100751,163,Silver Link.,"Comedy, Parody, Romance, Ecchi, School",2014
34800,Action Heroine Cheer Fruits,Action Heroine Cheer Fruits,TV,Original,12,Finished Airing,FALSE,"Jul 7, 2017 to Sep 29, 2017",24,PG-13 - Teens 13 or older,6.57,2205,5310,3941,8435,11,Diomedea,"Slice of Life, Comedy, School",2017
21329,Mushishi Special: Hihamukage,The Shadow that Devours the Sun,Special,Manga,1,Finished Airing,FALSE,4-Jan-14,45,PG-13 - Teens 13 or older,8.64,36043,62,1201,67787,100,Artland,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen",2014
35739,Pikotarou no Lullaby Lullaby (TV),Pikotaro&#039;s Lullaby La La By (TV),TV,Original,9,Finished Airing,FALSE,"Aug 2, 2017 to Sep 27, 2017",3,G - All Ages,5.62,1272,8162,5890,3094,6,DLE,Comedy,2017
33806,Macross Δ: Delta Shougekijou,,Special,Original,9,Finished Airing,FALSE,"Jul 22, 2016 to Mar 24, 2017",5,PG-13 - Teens 13 or older,6.25,176,6584,8217,1033,2,Studio PuYUKAI,"Sci-Fi, Comedy",2016
168,s.CRY.ed,s-CRY-ed,TV,Original,26,Finished Airing,FALSE,"Jul 4, 2001 to Dec 26, 2001",24,PG-13 - Teens 13 or older,7.43,29622,1904,1339,60651,600,Sunrise,"Action, Sci-Fi, Adventure, Super Power, Drama",2001
31244,Makura no Danshi: Sono Ato no Makura no Danshi,,Special,Original,1,Finished Airing,FALSE,27-Nov-15,0,PG-13 - Teens 13 or older,5.08,313,8964,7022,1857,0,feel.,Slice of Life,2015
524,Onegai☆Twins: Natsu wa Owaranai,,OVA,Original,1,Finished Airing,FALSE,28-Apr-04,25,R+ - Mild Nudity,7.11,14871,3181,2387,24504,10,Daume,"Comedy, Drama, Romance",2004
2912,Ohayo! Spank,,TV,Manga,63,Finished Airing,FALSE,"Mar 7, 1981 to May 29, 1982",25,G - All Ages,6.69,646,4807,7775,1280,1,TMS Entertainment,"Comedy, Slice of Life",1981
1820,Power Dolls,,OVA,Game,2,Finished Airing,FALSE,"Mar 1, 1996 to Mar 1, 1998",25,R+ - Mild Nudity,5.51,417,8360,7984,1162,1,OLM,"Action, Adventure, Mecha, Sci-Fi",1996
2547,Princess Sara,A Little Princess Sara,TV,Novel,46,Finished Airing,FALSE,"Jan 6, 1985 to Dec 29, 1985",25,G - All Ages,7.81,5407,864,3639,10271,53,Nippon Animation,"Slice of Life, Historical, Drama, Shoujo",1985
31573,Brave Beats,Brave Beats,TV,Original,22,Finished Airing,FALSE,"Oct 11, 2015 to Mar 27, 2016",23,G - All Ages,6.63,834,5049,6037,2898,17,Bandai Namco Pictures,"Adventure, Music",2015
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,,Special,Manga,1,Finished Airing,FALSE,24-Aug-13,106,PG-13 - Teens 13 or older,8.28,13608,259,2287,26240,27,Toei Animation,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",2013
